Quick look-up who participated in the creation of what. The real name of the artists may be found in their profile pages in our forum.
If not otherwise noted, the license is all CC-BY 3.0

models
-------------------------------------------------------------------------------
balloon			-		Matthias, Marky
boompack		-		Ringwaul
cannon			-		Ringwaul
clonk			-		Randrian
controllers		-		Ringwaul
female clonk	-		Ringwaul
dragon			-		Ringwaul
elevator		-		Mimmo, Newton
elevator cabine - 		Mimmo
foundry			-		Faby, Newton
grass			-		Ringwaul
Icons			-		Ringwaul
javelin			-		Ringwaul
levitation_orb	-		Ringwaul
lorry			-		Mimmo, Newton
musket			-		Ringwaul
resources		-		AlteredARMOR
shark			-		Ringwaul
shield			-		Ringwaul
shovel			-		Ringwaul
steam_power		-		Nachtfalter
Sword			-		Ringwaul
wind_generator	-		Mimmo, Newton
wipf			-		Ringwaul
wolf			-		Mimmo, ModernClonker, Newton, Ringwaul
wooden_cabin	-		Faby, Ringwaul
workshop		-		Ringwaul, Newton

